
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
38:FF:36:CE:A8:A9, 2018-09-04 16:01:10, 2018-09-04 16:01:18, 10,  -1, OPN, ,   , -96,        0,        9, 172. 30.  6. 51,   0, , 
04:BD:88:CD:C4:E0, 2018-09-04 16:01:10, 2018-09-04 16:01:14, 11,  54, WPA2, CCMP,PSK, -90,        2,        0,   0.  0.  0.  0,   6, NIT-AP, 
64:CC:2E:8D:8A:95, 2018-09-04 16:01:11, 2018-09-04 16:01:18,  6,  54, WPA2, CCMP,PSK, -89,        3,        0,   0.  0.  0.  0,   8, Redmi511, 
7C:91:22:D7:79:2C, 2018-09-04 16:01:18, 2018-09-04 16:01:18,  6,  54, WPA2, CCMP,PSK, -89,        1,        0,   0.  0.  0.  0,   6, Galaxy, 
30:84:54:33:A0:63, 2018-09-04 16:01:18, 2018-09-04 16:01:18,  6,  54, WPA, CCMP TKIP,PSK, -88,        1,        0,   0.  0.  0.  0,  10, OPPO A37fw, 
38:FF:36:4F:55:A3, 2018-09-04 16:01:10, 2018-09-04 16:01:17, 11,  54, WPA2, CCMP,PSK, -87,        6,        0,   0.  0.  0.  0,  13, island-0F55A0, 
00:0A:F5:F6:78:88, 2018-09-04 16:01:15, 2018-09-04 16:01:15,  1,  54, WPA2, CCMP,PSK, -86,        0,        0,   0.  0.  0.  0,   3, Leo, 
E4:46:DA:B7:13:79, 2018-09-04 16:01:08, 2018-09-04 16:01:18,  1,  54, OPN, ,   , -84,        1,        8, 192.168. 43.185,  13, BuNT-c2F0aXNo, 
38:FF:36:0E:DB:70, 2018-09-04 16:01:11, 2018-09-04 16:01:19, 13,  54, OPN, ,   , -82,        5,        0,   0.  0.  0.  0,  17, NITAP-2017- A & B, 
38:FF:36:0E:DB:7A, 2018-09-04 16:01:08, 2018-09-04 16:01:19, 13,  54, OPN, ,   , -80,        7,      151,  10. 30.  4. 32,  20, NITAP-Computers(CSE), 
38:FF:36:8E:DB:71, 2018-09-04 16:01:08, 2018-09-04 16:01:19, 13,  54, WPA2, CCMP,PSK, -81,        6,        1,   0.  0.  0.  0,  10, NIT ANDHRA, 
38:FF:36:4E:DB:70, 2018-09-04 16:01:08, 2018-09-04 16:01:19, 13,  54, OPN, ,   , -81,        7,        0,   0.  0.  0.  0,  17, NITAP-2017- C & D, 
38:FF:36:0E:DB:7B, 2018-09-04 16:01:08, 2018-09-04 16:01:19, 13,  54, OPN, ,   , -80,        6,        0,   0.  0.  0.  0,  14, NITAP-2016-Two, 
38:FF:36:CE:DB:71, 2018-09-04 16:01:08, 2018-09-04 16:01:19, 13,  54, WPA2, CCMP,PSK, -80,        7,        0,   0.  0.  0.  0,   3, NIT, 
38:FF:36:8E:DB:79, 2018-09-04 16:01:08, 2018-09-04 16:01:19, 13,  54, OPN, ,   , -80,        6,        0,   0.  0.  0.  0,  21, NITAP-Electrical(EEE), 
38:FF:36:8E:DB:7B, 2018-09-04 16:01:08, 2018-09-04 16:01:19, 13,  54, OPN, ,   , -80,        6,        0,   0.  0.  0.  0,  16, NITAP-2016-Three, 
38:FF:36:4E:DB:79, 2018-09-04 16:01:08, 2018-09-04 16:01:19, 13,  54, OPN, ,   , -80,        7,        0,   0.  0.  0.  0,  16, NITAP-Mechanical, 
38:FF:36:8E:DB:78, 2018-09-04 16:01:08, 2018-09-04 16:01:19, 13,  54, WPA2, CCMP,PSK, -80,        8,        0,   0.  0.  0.  0,  14, NITAP-DIRECTOR, 
38:FF:36:4E:DB:71, 2018-09-04 16:01:08, 2018-09-04 16:01:19, 13,  54, OPN, ,   , -81,        7,        0,   0.  0.  0.  0,   8, NITAP-DC, 
38:FF:36:4E:DB:7A, 2018-09-04 16:01:08, 2018-09-04 16:01:19, 13,  54, OPN, ,   , -81,        8,        0,   0.  0.  0.  0,  11, NITAP-Civil, 
38:FF:36:4E:DB:78, 2018-09-04 16:01:08, 2018-09-04 16:01:19, 13,  54, OPN, ,   , -81,        8,        0,   0.  0.  0.  0,  13, NITAP-Faculty, 
38:FF:36:CE:DB:78, 2018-09-04 16:01:08, 2018-09-04 16:01:19, 13,  54, OPN, ,   , -81,        8,        0,   0.  0.  0.  0,  14, NITAP-2016-One, 
38:FF:36:4E:DB:72, 2018-09-04 16:01:08, 2018-09-04 16:01:19, 13,  54, OPN, ,   , -80,        8,        0,   0.  0.  0.  0,  14, Faculty-Laptop, 
38:FF:36:0E:DB:72, 2018-09-04 16:01:08, 2018-09-04 16:01:19, 13,  54, OPN, ,   , -81,        9,        0,   0.  0.  0.  0,  14, Faculty-Mobile, 
7E:6B:9C:21:24:41, 2018-09-04 16:01:18, 2018-09-04 16:01:18,  6,  54, WPA2, CCMP,PSK, -80,        1,        0,   0.  0.  0.  0,   8, Realme 1, 
