Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;;38:FF:36:CE:A8:A9;;10;No;OPN,None;No;-1.0;0;0;0;9;0;0;9;;;Tue Sep  4 16:01:10 2018;Tue Sep  4 16:01:18 2018;-96;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;172.30.6.51;
2;infrastructure;NIT-AP;04:BD:88:CD:C4:E0;;11;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Tue Sep  4 16:01:10 2018;Tue Sep  4 16:01:14 2018;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Redmi511;64:CC:2E:8D:8A:95;;6;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Tue Sep  4 16:01:11 2018;Tue Sep  4 16:01:18 2018;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;island-0F55A0;38:FF:36:4F:55:A3;;11;No;WPA2,AES-CCM;No;54.0;0;6;0;0;0;0;0;;;Tue Sep  4 16:01:10 2018;Tue Sep  4 16:01:17 2018;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;BuNT-c2F0aXNo;E4:46:DA:B7:13:79;;1;No;OPN,None;No;54.0;0;1;0;8;0;0;8;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:18 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;192.168.43.185;
6;infrastructure;NITAP-2017- A & B;38:FF:36:0E:DB:70;;13;No;OPN,None;No;54.0;0;5;0;0;0;0;0;;;Tue Sep  4 16:01:11 2018;Tue Sep  4 16:01:19 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;NITAP-Computers(CSE);38:FF:36:0E:DB:7A;;13;No;OPN,None;No;54.0;0;7;0;151;0;0;151;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.30.4.32;
8;infrastructure;NIT ANDHRA;38:FF:36:8E:DB:71;;13;No;WPA2,AES-CCM;No;54.0;0;6;0;1;0;0;1;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;NITAP-2017- C & D;38:FF:36:4E:DB:70;;13;No;OPN,None;No;54.0;0;7;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;NITAP-2016-Two;38:FF:36:0E:DB:7B;;13;No;OPN,None;No;54.0;0;6;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;NIT;38:FF:36:CE:DB:71;;13;No;WPA2,AES-CCM;No;54.0;0;7;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
